photo_id,photo_url,total_score,useful,useful_text
1,http://static.panoramio.com/photos/original/80652828.jpg,1,1,yes
2,http://static.panoramio.com/photos/original/73964415.jpg,0.2,0,maybe
3,http://static.panoramio.com/photos/original/83079998.jpg,1,1,yes
4,http://static.panoramio.com/photos/original/71736641.jpg,1,1,yes
5,http://static.panoramio.com/photos/original/9895092.jpg,0.4,1,yes
6,http://static.panoramio.com/photos/original/3565143.jpg,0,0,maybe
7,http://static.panoramio.com/photos/original/978348.jpg,1,1,yes
8,http://static.panoramio.com/photos/original/10165617.jpg,0,0,maybe
9,http://static.panoramio.com/photos/original/3525596.jpg,0.6,1,yes
10,http://static.panoramio.com/photos/original/2870536.jpg,0.4,1,yes
11,http://static.panoramio.com/photos/original/978130.jpg,1,1,yes
12,http://static.panoramio.com/photos/original/24903095.jpg,1,1,yes
13,http://static.panoramio.com/photos/original/8246094.jpg,1,1,yes
14,http://static.panoramio.com/photos/original/3080567.jpg,1,1,yes
15,http://static.panoramio.com/photos/original/16168909.jpg,-0.8,-1,no
16,http://static.panoramio.com/photos/original/5563137.jpg,1,1,yes
17,http://static.panoramio.com/photos/original/2795619.jpg,1,1,yes
18,http://static.panoramio.com/photos/original/4564147.jpg,0.8,1,yes
19,http://static.panoramio.com/photos/original/14645850.jpg,0.6,1,yes
20,http://static.panoramio.com/photos/original/15623563.jpg,0.6,1,yes
21,http://static.panoramio.com/photos/original/6303069.jpg,1,1,yes
22,http://static.panoramio.com/photos/original/8183775.jpg,0.2,0,maybe
23,http://static.panoramio.com/photos/original/29844889.jpg,1,1,yes
24,http://static.panoramio.com/photos/original/37488219.jpg,0,0,maybe
25,http://static.panoramio.com/photos/original/22121975.jpg,-0.6,-1,no
26,http://static.panoramio.com/photos/original/29563531.jpg,-1,-1,no
27,http://static.panoramio.com/photos/original/24287470.jpg,1,1,yes
28,http://static.panoramio.com/photos/original/100373242.jpg,1,1,yes
29,http://static.panoramio.com/photos/original/10592643.jpg,1,1,yes
30,http://static.panoramio.com/photos/original/63350668.jpg,1,1,yes
31,http://static.panoramio.com/photos/original/18825629.jpg,1,1,yes
32,http://static.panoramio.com/photos/original/49774110.jpg,0.4,1,yes
33,http://static.panoramio.com/photos/original/41328710.jpg,-0.2,0,maybe
